name,bin0,bin1,bin2,bin3,bin4,bin5,bin6,bin7,bin8,bin9,bin10,bin11,bin12,bin13,bin14,bin15,bin16,bin17,bin18,bin19,bin20,bin21,bin22,bin23,bin24,bin25,bin26,bin27,bin28,bin29,bin30,bin31,bin32,bin33,bin34,bin35,bin36,bin37,bin38,bin39,bin40,bin41,bin42,bin43,bin44,bin45,bin46,bin47,bin48,bin49,
opel_corsa_20161229_130832_.png,14,8,21,15,3,19,13,9,12,5,8,8,8,6,18,12,6,9,9,1,12,13,18,8,7,4,7,10,1,3,5,15,7,4,1,29,7,16,20,20,3,7,1,2,21,2,12,9,6,3,
opel_corsa_20161229_130834_.png,13,9,11,20,7,6,10,9,8,6,9,4,3,16,25,10,7,13,13,3,10,7,14,10,9,6,5,9,1,2,4,8,16,6,9,10,2,15,19,24,9,7,9,2,34,5,7,8,10,7,
opel_corsa_20161229_130835_.png,11,9,17,11,4,14,7,4,4,5,14,17,4,10,9,4,6,13,9,7,9,5,14,14,8,3,5,5,2,9,9,12,6,10,5,23,5,8,21,22,9,9,3,1,26,7,13,18,8,10,
porsche_911_20161229_190007_.png,6,5,7,8,6,8,6,6,6,16,11,3,3,14,18,5,6,10,14,11,4,14,7,9,7,1,4,13,3,5,1,17,16,9,2,25,2,6,6,7,3,9,7,1,14,5,8,8,13,4,
porsche_911_20161229_190009_.png,5,1,1,17,6,3,3,1,5,2,3,5,2,11,6,1,3,27,12,1,4,20,1,10,3,0,1,13,4,5,4,27,9,11,1,13,0,5,39,11,1,4,9,1,39,1,12,4,12,2,
porsche_911_20161229_190010_.png,5,7,11,8,5,13,6,5,7,4,4,2,1,7,10,0,4,25,11,2,6,4,8,5,5,1,4,10,1,5,5,20,6,21,3,8,0,4,15,17,1,15,1,4,22,1,12,9,8,2,
porsche_911_20161229_190015_.png,7,4,8,15,3,6,1,12,3,5,9,3,2,8,2,3,6,27,16,4,3,9,4,13,2,1,7,15,1,10,5,6,7,40,4,4,1,10,39,15,0,21,5,3,29,3,3,4,11,1,
VW_Golf IV_20161203_164336_.png,7,7,14,13,6,12,5,1,7,3,5,7,1,7,25,5,10,10,7,8,7,5,16,11,6,1,12,12,1,5,9,11,7,8,4,6,3,4,10,16,4,4,4,2,16,4,9,9,8,3,
vw_golf_20161212_122636_.png,6,14,12,19,6,9,2,5,6,7,12,9,6,13,25,1,2,9,6,3,3,8,11,11,6,2,2,8,2,8,8,18,6,5,0,8,3,5,7,31,5,10,7,1,20,4,15,3,14,6,
vw_golf_20161212_122721_.png,10,13,7,9,4,11,5,11,6,7,14,12,6,6,14,8,8,13,13,5,6,9,10,12,5,6,4,12,2,5,9,11,8,13,6,14,1,12,13,16,3,13,2,5,16,3,12,13,16,5,
